level2.phylum.gg,level3.class.gg,level4.order.gg,level5.family.gg,level6.genus.gg
k__Bacteria;p__SBR1093,k__Bacteria;p__AncK6;c__,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__,k__Archaea;p__Euryarchaeota;c__DSEG;o__ArcA07;f__;g__
k__Bacteria;p__SC4,k__Bacteria;p__Aquificae;c__Aquificae,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__[Chloracidobacterales],k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2a-2b,k__Archaea;p__Euryarchaeota;c__DSEG;o__DHVE3;f__;g__
k__Bacteria;p__Spirochaetes,k__Bacteria;p__Armatimonadetes;c__,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__11-24,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2c,k__Archaea;p__Euryarchaeota;c__DSEG;o__HydGC-84-221A;f__;g__
k__Bacteria;p__SR1,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2D,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__
k__Bacteria;p__Synergistetes,k__Bacteria;p__Armatimonadetes;c__0319-6E2,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__Ellin7246,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__
k__Bacteria;p__TA06,k__Bacteria;p__Armatimonadetes;c__Armatimonadia,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__PK29,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__209ZB06
k__Bacteria;p__Tenericutes,k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methermicoccaceae,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__ArcF12
k__Bacteria;p__Thermotogae,k__Bacteria;p__Armatimonadetes;c__MD2902-B50,k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__NRA6;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__GA41
k__Bacteria;p__TM6,k__Bacteria;p__Armatimonadetes;c__OPB50,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__RCII;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus
k__Bacteria;p__TM7,k__Bacteria;p__Armatimonadetes;c__OS-L,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__BPC015,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__YC-E6;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halalkalicoccus
